Site,Site_Greek,Lat,Long,Habitat,NDVI,NDMI
Alyko,Αλυκό,36.98480862,25.39000797,nonwall,0.259,-0.39
Damarionas,Δαμαριώνας,37.05266404,25.47961967,wall,0.097,-0.131
Filoti Valley,Κοιλάδα Φιλωτίου,37.03947909,25.48205895,nonwall,0.353,-0.137
Glynado,Γλινάδο,37.07039303,25.40199501,wall,0.14,-0.171
Melanes,Μέλανες,37.09045656,25.43807285,wall,0.232,-0.27
Moni,Μόνη,37.08206844,25.49710017,wall,0.166,-0.188
Monitsia,Μονίτσια,37.06796912,25.48222022,wall,0.262,-0.267
Panermos,Πάνορμος,36.96271364,25.53700798,nonwall,0.471,-0.303
Zas,Ζάς,37.03,25.507,nonwall,0.271,-0.362
